Point,AFTDIA,AFTBF,*FWDDIA,*FWDBF
120,0.0012,0.0000,0.0036,-0.0005
121,0.0012,0.0000,0.0037,-0.0005
122,0.0012,0.0000,0.0037,-0.0005
123,0.0012,0.0000,0.0037,-0.0005
124,0.0013,0.0000,0.0038,-0.0005
125,0.0013,0.0000,0.0038,-0.0006
126,0.0013,0.0000,0.0038,-0.0006
127,0.0014,0.0000,0.0039,-0.0006
128,0.0014,0.0000,0.0039,-0.0006
129,0.0014,0.0000,0.0039,-0.0006
130,0.0015,0.0000,0.0040,-0.0006
131,0.0015,0.0000,0.0040,-0.0006
132,0.0015,0.0000,0.0040,-0.0006
133,0.0016,0.0000,0.0041,-0.0006
134,0.0016,0.0000,0.0041,-0.0006
135,0.0016,0.0000,0.0041,-0.0006
136,0.0016,0.0000,0.0041,-0.0006
137,0.0017,0.0000,0.0042,-0.0006
138,0.0017,0.0000,0.0042,-0.0007
139,0.0017,0.0000,0.0042,-0.0007
140,0.0018,0.0000,0.0043,-0.0007
141,0.0018,0.0000,0.0043,-0.0007
142,0.0018,0.0000,0.0043,-0.0007
143,0.0018,0.0000,0.0044,-0.0007
144,0.0019,0.0000,0.0044,-0.0007
145,0.0019,0.0000,0.0044,-0.0007
146,0.0019,0.0000,0.0045,-0.0007
147,0.0019,0.0000,0.0045,-0.0007
148,0.0019,0.0000,0.0045,-0.0007
149,0.0020,0.0000,0.0046,-0.0008
150,0.0020,0.0000,0.0046,-0.0008
151,0.0020,0.0000,0.0046,-0.0008
152,0.0020,0.0000,0.0047,-0.0008
153,0.0020,0.0000,0.0047,-0.0008
154,0.0021,0.0000,0.0047,-0.0008
155,0.0021,0.0000,0.0048,-0.0008
156,0.0021,0.0000,0.0048,-0.0008
157,0.0021,0.0000,0.0048,-0.0008
158,0.0022,0.0000,0.0048,-0.0008
159,0.0022,0.0000,0.0049,-0.0008
160,0.0022,0.0000,0.0049,-0.0008
161,0.0022,0.0000,0.0049,-0.0008
162,0.0023,0.0000,0.0050,-0.0008
163,0.0023,0.0000,0.0050,-0.0008
164,0.0023,0.0000,0.0050,-0.0009
165,0.0024,0.0000,0.0050,-0.0009
166,0.0024,0.0000,0.0051,-0.0009
167,0.0024,0.0000,0.0051,-0.0009
168,0.0025,0.0000,0.0051,-0.0009
169,0.0025,0.0000,0.0051,-0.0009
170,0.0025,0.0000,0.0052,-0.0009
171,0.0026,0.0000,0.0052,-0.0009
172,0.0026,0.0000,0.0052,-0.0009
173,0.0026,0.0000,0.0052,-0.0009
174,0.0027,0.0000,0.0053,-0.0009
175,0.0027,0.0000,0.0053,-0.0009
176,0.0027,0.0000,0.0053,-0.0009
177,0.0028,0.0000,0.0054,-0.0009
178,0.0028,0.0000,0.0054,-0.0009
179,0.0028,0.0000,0.0054,-0.0009
180,0.0028,0.0000,0.0054,-0.0009
181,0.0029,0.0000,0.0055,-0.0009
182,0.0029,0.0000,0.0055,-0.0009
183,0.0029,0.0000,0.0055,-0.0009
184,0.0029,0.0000,0.0056,-0.0009
185,0.0030,0.0000,0.0056,-0.0009
186,0.0030,0.0000,0.0056,-0.0009
187,0.0030,0.0000,0.0057,-0.0009
188,0.0030,0.0000,0.0057,-0.0009
189,0.0030,0.0000,0.0057,-0.0009
190,0.0030,0.0000,0.0058,-0.0009
191,0.0030,0.0000,0.0058,-0.0009
192,0.0030,0.0000,0.0058,-0.0009
193,0.0031,0.0000,0.0059,-0.0010
194,0.0031,0.0000,0.0059,-0.0010
195,0.0031,0.0000,0.0059,-0.0010
196,0.0031,0.0000,0.0060,-0.0010
197,0.0031,0.0000,0.0060,-0.0010
198,0.0031,0.0000,0.0060,-0.0010
199,0.0031,0.0000,0.0061,-0.0010
200,0.0031,0.0000,0.0061,-0.0010
201,0.0031,0.0000,0.0062,-0.0010
202,0.0031,0.0000,0.0062,-0.0010
203,0.0031,0.0000,0.0062,-0.0010
204,0.0031,0.0000,0.0063,-0.0010
205,0.0032,0.0000,0.0063,-0.0010
206,0.0032,0.0000,0.0063,-0.0010
207,0.0032,0.0000,0.0063,-0.0010
208,0.0032,0.0000,0.0064,-0.0010
209,0.0032,0.0000,0.0064,-0.0010
210,0.0032,-0.0001,0.0064,-0.0010
211,0.0033,-0.0001,0.0065,-0.0010
212,0.0033,-0.0001,0.0065,-0.0010
213,0.0033,-0.0001,0.0065,-0.0010
214,0.0033,-0.0001,0.0065,-0.0010
215,0.0034,-0.0001,0.0066,-0.0010
216,0.0034,-0.0001,0.0066,-0.0010
217,0.0034,-0.0001,0.0066,-0.0010
218,0.0035,-0.0001,0.0066,-0.0010
219,0.0035,-0.0001,0.0067,-0.0010
220,0.0035,-0.0001,0.0067,-0.0010
221,0.0036,-0.0001,0.0067,-0.0010
222,0.0036,-0.0001,0.0067,-0.0010
223,0.0036,-0.0001,0.0067,-0.0010
224,0.0036,-0.0001,0.0068,-0.0010
225,0.0037,-0.0001,0.0068,-0.0010
226,0.0037,-0.0001,0.0068,-0.0010
227,0.0037,-0.0001,0.0068,-0.0010
228,0.0037,-0.0001,0.0068,-0.0010
229,0.0038,-0.0001,0.0069,-0.0010
230,0.0038,-0.0001,0.0069,-0.0010
231,0.0038,-0.0001,0.0069,-0.0010
232,0.0038,-0.0001,0.0069,-0.0011
233,0.0038,-0.0001,0.0069,-0.0011
234,0.0038,-0.0001,0.0070,-0.0011
235,0.0038,-0.0001,0.0070,-0.0011
236,0.0038,-0.0001,0.0070,-0.0011
237,0.0038,-0.0001,0.0070,-0.0011
238,0.0039,-0.0001,0.0070,-0.0011
239,0.0039,-0.0001,0.0070,-0.0011
240,0.0039,-0.0001,0.0071,-0.0011
241,0.0039,-0.0001,0.0071,-0.0011
242,0.0039,-0.0001,0.0071,-0.0011
243,0.0039,-0.0001,0.0071,-0.0011
244,0.0039,-0.0001,0.0071,-0.0011
245,0.0039,-0.0001,0.0071,-0.0011
246,0.0039,-0.0001,0.0072,-0.0011
247,0.0039,-0.0001,0.0072,-0.0011
248,0.0039,-0.0001,0.0072,-0.0011
249,0.0039,-0.0001,0.0072,-0.0011
250,0.0039,-0.0001,0.0072,-0.0011
251,0.0039,-0.0001,0.0072,-0.0011
252,0.0039,-0.0001,0.0072,-0.0011
253,0.0039,-0.0001,0.0072,-0.0011
254,0.0039,-0.0001,0.0073,-0.0011
255,0.0039,-0.0001,0.0073,-0.0011
256,0.0040,-0.0001,0.0073,-0.0011
257,0.0040,-0.0001,0.0073,-0.0011
258,0.0040,-0.0001,0.0073,-0.0011
259,0.0040,-0.0001,0.0073,-0.0011
260,0.0040,-0.0001,0.0073,-0.0011
261,0.0041,-0.0001,0.0073,-0.0011
262,0.0041,-0.0001,0.0073,-0.0011
263,0.0041,-0.0001,0.0073,-0.0011
264,0.0041,-0.0001,0.0073,-0.0011
265,0.0041,-0.0001,0.0073,-0.0011
266,0.0042,-0.0001,0.0074,-0.0011
267,0.0042,-0.0001,0.0074,-0.0011
268,0.0042,-0.0001,0.0074,-0.0011
269,0.0042,-0.0001,0.0074,-0.0011
270,0.0042,-0.0001,0.0074,-0.0011
271,0.0043,-0.0001,0.0074,-0.0011
272,0.0043,-0.0001,0.0074,-0.0011
273,0.0043,-0.0001,0.0074,-0.0011
274,0.0043,-0.0001,0.0074,-0.0011
275,0.0043,-0.0001,0.0074,-0.0011
276,0.0043,-0.0001,0.0074,-0.0011
277,0.0043,-0.0001,0.0074,-0.0011
278,0.0043,-0.0001,0.0074,-0.0011
279,0.0043,-0.0001,0.0074,-0.0011
280,0.0043,-0.0001,0.0074,-0.0011
281,0.0043,-0.0001,0.0074,-0.0011
282,0.0043,-0.0001,0.0074,-0.0011
283,0.0044,-0.0001,0.0074,-0.0011
284,0.0043,-0.0001,0.0074,-0.0011
285,0.0043,-0.0001,0.0074,-0.0011
286,0.0043,-0.0001,0.0074,-0.0011
287,0.0043,-0.0001,0.0074,-0.0011
288,0.0043,-0.0001,0.0073,-0.0011
289,0.0043,-0.0001,0.0073,-0.0011
290,0.0043,-0.0001,0.0073,-0.0011
291,0.0043,-0.0001,0.0073,-0.0011
292,0.0043,-0.0001,0.0073,-0.0011
293,0.0043,-0.0001,0.0073,-0.0011
294,0.0043,-0.0001,0.0073,-0.0011
295,0.0043,-0.0001,0.0073,-0.0011
296,0.0043,-0.0001,0.0072,-0.0011
297,0.0043,-0.0001,0.0072,-0.0011
298,0.0043,-0.0001,0.0072,-0.0011
299,0.0043,-0.0001,0.0072,-0.0011
300,0.0044,-0.0001,0.0072,-0.0011
301,0.0044,-0.0001,0.0071,-0.0011
302,0.0044,-0.0001,0.0071,-0.0011
303,0.0044,-0.0001,0.0071,-0.0011
304,0.0044,0.0000,0.0071,-0.0011
305,0.0044,0.0000,0.0070,-0.0010
306,0.0044,0.0000,0.0070,-0.0010
307,0.0044,0.0000,0.0070,-0.0010
308,0.0044,0.0000,0.0070,-0.0010
309,0.0044,0.0000,0.0069,-0.0010
310,0.0044,0.0000,0.0069,-0.0010
311,0.0044,0.0000,0.0069,-0.0010
312,0.0044,0.0000,0.0068,-0.0010
313,0.0044,0.0000,0.0068,-0.0010
314,0.0045,0.0000,0.0068,-0.0010
315,0.0045,0.0000,0.0068,-0.0010
316,0.0045,0.0000,0.0067,-0.0010
317,0.0045,0.0000,0.0067,-0.0010
